id,timestamp,temperature,humidity,air_index,lux
30,2025-10-21 05:41:17.028004,29.6,88.5,3.59,10.83
31,2025-10-21 05:41:19.037483,29.6,88.4,3.58,10.83
32,2025-10-21 05:42:59.415131,30,86.4,3.59,14842.5
33,2025-10-21 05:43:01.422056,30,86.4,3.61,14428.33
34,2025-10-21 05:43:03.429837,30,86.4,3.59,14332.5
35,2025-10-21 05:43:05.439989,30.1,86.3,3.59,14555
36,2025-10-21 05:43:07.448478,30,86.3,3.63,14488.33
37,2025-10-21 05:43:09.457617,30.1,86.2,3.59,14360
38,2025-10-21 05:43:11.467406,30.1,86.2,3.59,14182.5
39,2025-10-21 05:43:13.476252,30.1,86.2,3.59,14161.67
40,2025-10-21 06:05:42.648713,29.9,86.6,3.55,33.33
41,2025-10-21 06:05:44.649486,29.9,86.5,3.59,34.17
42,2025-10-21 06:05:46.658887,29.9,86.5,3.62,35.83
43,2025-10-21 06:05:48.666556,29.9,86.4,3.61,36.67
44,2025-10-21 06:05:50.675138,30,86.4,3.5,38.33
45,2025-10-21 06:05:52.684672,30,86.3,3.55,37.5
46,2025-10-21 06:05:54.692368,30,86.2,3.5,40
47,2025-10-21 06:05:56.701388,30,86.2,3.7,42.5
48,2025-10-21 06:06:19.618804,30.1,85.8,3.59,6.67
49,2025-10-21 06:06:21.628633,30.1,85.8,3.57,6.67
50,2025-10-21 06:06:23.637442,30.1,85.7,3.66,6.67
51,2025-10-21 06:06:25.646843,30.1,85.7,3.53,6.67
52,2025-10-21 06:06:27.656309,30.1,85.7,3.57,6.67
53,2025-10-21 06:06:29.663618,30.1,85.7,3.55,6.67
54,2025-10-21 06:06:31.673121,30.1,85.7,3.52,6.67
55,2025-10-21 06:06:33.680429,30.1,85.6,3.6,6.67
56,2025-10-21 06:11:56.420211,30,86.7,3.76,32.5
57,2025-10-21 06:11:58.425727,30,86.6,3.65,32.5
58,2025-10-21 06:12:00.435641,30,86.5,3.65,32.5
59,2025-10-21 06:12:02.442743,30,86.5,3.67,32.5
60,2025-10-21 06:12:04.451189,30,86.4,3.59,32.5
61,2025-10-21 06:12:06.460429,30,86.4,3.56,32.5
62,2025-10-21 06:12:08.470473,30,86.3,3.7,32.5
63,2025-10-21 06:12:10.477381,30,86.3,3.63,32.5
64,2025-10-21 06:17:18.419491,30.6,83.7,3.57,13249.17
65,2025-10-21 06:17:20.424126,30.6,83.7,3.59,13265
66,2025-10-21 06:17:22.432592,30.6,83.7,3.59,13287.5
67,2025-10-21 06:17:24.441320,30.6,83.7,3.59,13266.67
68,2025-10-21 06:17:26.451266,30.6,83.7,3.59,13285.83
69,2025-10-21 06:17:28.460158,30.6,83.7,3.59,13264.17
70,2025-10-21 06:17:30.468242,30.6,83.7,3.57,13247.5
71,2025-10-21 06:17:32.478713,30.6,83.7,3.57,13262.5
72,2025-10-21 06:20:22.227101,30.5,84,3.59,3.33
73,2025-10-21 06:20:24.233952,30.5,83.9,3.56,3.33
74,2025-10-21 06:20:26.241675,30.5,84,3.57,3.33
75,2025-10-21 06:20:28.251458,30.5,84,3.59,3.33
76,2025-10-21 06:21:28.122661,30.4,84.3,3.59,11661.67
77,2025-10-21 06:21:30.126977,30.4,84.3,3.59,11561.67
78,2025-10-21 06:21:32.137390,30.4,84.3,3.74,11627.5
79,2025-10-21 06:21:34.147245,30.4,84.3,3.62,11575.83
80,2025-10-21 06:21:36.156031,30.4,84.3,3.57,11543.33
81,2025-10-21 06:21:38.164926,30.4,84.3,3.62,11523.33
82,2025-10-21 06:21:40.172233,30.4,84.3,3.61,11506.67
83,2025-10-21 06:21:42.182527,30.4,84.3,3.57,11506.67
84,2025-10-21 06:25:46.111438,30.2,85.4,3.62,12885
85,2025-10-21 06:25:48.114269,30.2,85.4,3.62,12917.5
86,2025-10-21 06:25:50.123424,30.2,85.3,3.6,12887.5
87,2025-10-21 06:25:52.132273,30.2,85.2,3.58,12924.17
88,2025-10-21 06:25:54.142437,30.2,85.2,3.58,12850
89,2025-10-21 06:25:56.150263,30.3,85.1,3.58,12530
90,2025-10-21 06:25:58.158670,30.3,85.1,3.58,12758.33
91,2025-10-21 06:26:00.168888,30.3,85,3.57,12772.5
